id,row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,slowGrowthLight,slowGrowthWater,slowGrowthTemp,dbh,height,availableLight,light_rf,leafArea,droughtIndex,moisture_rf,degreeDay_rf,foliageWght,twigWght,boleWght,deadFoliage,deadTwig,deadbole,mortality
18384,0,17,17,434.8,271.8,1,2300,alnuviri,16,0.0102,27,0,0,0,0,6.3552,3.6195,0.88,0.9297,2.8669,0,1,0.1642,0.0005,0.0097,0,0.4418,2.2468,0.002,83
18914,0,17,17,434.8,271.8,1,2300,alnuviri,12,0.0101,41,0,0,0,0,6.3374,3.6174,0.2673,0.2912,2.8669,0,1,0.1642,0.0005,0.0096,0,0.4418,2.2468,0.002,56
19868,0,17,17,434.8,271.8,1,2300,alnuviri,4,0.0101,111,0,0,0,0,6.3374,3.6174,0.2673,0.2912,2.8669,0,1,0.1642,0.0005,0.0096,0,0.4418,2.2468,0.002,18
43,0,18,18,459.8,271.8,1,2300,grass,190,0.01,1,3,3,0,0,0,1,0.2224,0.0964,3.0177,0,1,0.2407,0.005,0,0,0.4295,2.2127,0.0009,0
9558,0,18,18,459.8,271.8,1,2300,alnuviri,79,0.0101,1,0,0,0,0,6.3434,3.6181,0.3006,0.2918,3.0177,0,1,0.1642,0.0005,0.0097,0,0.4295,2.2127,0.0009,135
13536,0,18,18,459.8,271.8,1,2300,alnuviri,53,0.0101,2,0,0,0,0,6.3374,3.6174,0.2736,0.2986,3.0177,0,1,0.1642,0.0005,0.0096,0,0.4295,2.2127,0.0009,189
14464,0,18,18,459.8,271.8,1,2300,alnuviri,45,0.0101,7,0,0,0,0,6.3374,3.6174,0.2736,0.2986,3.0177,0,1,0.1642,0.0005,0.0096,0,0.4295,2.2127,0.0009,169
15522,0,18,18,459.8,271.8,1,2300,alnuviri,41,0.0101,7,0,0,0,0,6.3434,3.6181,0.3006,0.2918,3.0177,0,1,0.1642,0.0005,0.0097,0,0.4295,2.2127,0.0009,116
16813,0,18,18,459.8,271.8,1,2300,alnuviri,28,0.0102,12,0,0,0,0,6.3633,3.6204,0.9736,0.9855,3.0177,0,1,0.1642,0.0005,0.0097,0,0.4295,2.2127,0.0009,92
18385,0,18,18,459.8,271.8,1,2300,alnuviri,16,0.0102,38,0,0,0,0,6.3552,3.6195,0.8471,0.9089,3.0177,0,1,0.1642,0.0005,0.0097,0,0.4295,2.2127,0.0009,112
18915,0,18,18,459.8,271.8,1,2300,alnuviri,12,0.0101,37,0,0,0,0,6.3374,3.6174,0.2736,0.2986,3.0177,0,1,0.1642,0.0005,0.0096,0,0.4295,2.2127,0.0009,64
20392,0,18,18,459.8,271.8,1,2300,alnuviri,3,0.0101,119,0,0,0,0,6.3434,3.6181,0.3006,0.2918,3.0177,0,1,0.1642,0.0005,0.0097,0,0.4295,2.2127,0.0009,19
47,0,19,19,484.8,271.8,1,2200,grass,190,0.0103,1,5,5,0,0,0,1,0.0807,0,5.0455,0,1,0.2956,0.0052,0,0,0.4355,1.1702,0.0385,0
49,0,19,19,484.8,271.8,1,2200,pinucemb,150,0.0175,1,0,0,0,0,9.2882,7.7844,0.9953,0.9977,5.0455,0,1,0.1799,0.0033,0.0132,0.001,0.4355,1.1702,0.0385,10
50,0,19,19,484.8,271.8,1,2200,pinucemb,100,0.0147,5,0,0,0,0,8.7314,7.452,0.9649,0.9862,5.0455,0,1,0.1799,0.003,0.0111,0.0006,0.4355,1.1702,0.0385,25
9560,0,19,19,484.8,271.8,1,2200,pinucemb,79,0.0133,9,0,0,0,0,8.4143,7.26,0.8909,0.9557,5.0455,0,1,0.1799,0.0029,0.01,0.0004,0.4355,1.1702,0.0385,58
11007,0,19,19,484.8,271.8,1,2200,pinucemb,74,0.0128,5,0,0,0,0,8.296,7.1878,0.8113,0.9189,5.0455,0,1,0.1799,0.0028,0.0096,0.0003,0.4355,1.1702,0.0385,29
12297,0,19,19,484.8,271.8,1,2200,pinucemb,61,0.0124,14,0,0,0,0,8.2032,7.131,0.7381,0.8806,5.0455,0,1,0.1799,0.0028,0.0093,0.0003,0.4355,1.1702,0.0385,38
12653,0,19,19,484.8,271.8,1,2200,pinucemb,58,0.0122,2,0,0,0,0,8.1644,7.1072,0.6559,0.8315,5.0455,0,1,0.1799,0.0027,0.0092,0.0003,0.4355,1.1702,0.0385,32
13537,0,19,19,484.8,271.8,1,2200,pinucemb,53,0.0121,6,0,0,0,0,8.1337,7.0884,0.631,0.8151,5.0455,0,1,0.1799,0.0027,0.0091,0.0002,0.4355,1.1702,0.0385,27
14465,0,19,19,484.8,271.8,1,2200,pinucemb,45,0.0119,23,0,0,0,0,8.0836,7.0576,0.5518,0.7557,5.0455,0,1,0.1799,0.0027,0.009,0.0002,0.4355,1.1702,0.0385,42
